Episode Number,Pitch Number,Brand,Idea,Location,Sector,Male,Female,Avg_age,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Ashneer Amount Invested,Ashneer Equity Taken %,mita Amount Invested,mita Equity Taken %,Anupam Amount Invested,Anupam Equity Taken %,Vineeta Amount Invested,Vineeta Equity Taken %,Aman Amount Invested,Aman Equity Taken %,Peyush Amount Invested,Peyush Equity Taken %,Ghazal Amount Invested,Ghazal Equity Taken %,Total investors,Partners
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,Mumbai,Safety,1,0,30-35,50,0,30%,,,0,0,0,0,16.6,10,,,16.6,10,16.6,10,3,Gha-Pey-Vin
29,92,Wakao Foods,Jackfruit Products,Goa,Food,,0,30-35,75,0,21%,,,25,7,0,0,25,7,,,0,0,25,7,3,Gha-m-Vin
29,93,PDD Falcon,Stainless Steel Items,Kaithal,Lifestyle,6,1,30-35,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
29,94,PlayBox TV,Streaming Platform,Mumbai,Lifestyle,2,0,30-35,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,-
30,95,Sippline Drinking Shields,Portable Glass Attachment,Pune,Lifestyle,2,0,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
30,96,Kabaddi Adda,All-Kabaddi App,Mumbai,Entertainment,1,1,35-40,80,0,6%,0,0,40,3,0,0,40,3,0,0,,,,,2,m-Vin
30,97,Shades of Spring,Flowers,Bangalore,Lifestyle,2,1,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
30,98,Scholify,Scholarship Platform,Bangalore,Education,1,0,25-30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
31,99,Scrapshala,Handmade Reusable Scrap Materials,Chandigarh,Entertainment,1,1,25-30,0,0,0,25,5.333333333,0,0,0,0,25,5.33,25,5.33,,,,,3,Ama-Ash-Vin
31,100,Sabjikothi,Vegetables Storage,Delhi,Technology,2,0,30-35,0,0,0,20,25,0,0,0,0,20,25,0,0,,,,,2,Ash-Vin
31,101,AyuRythm,Ayurvedic Wellness App,Ahemdabad,Lifestyle,1,1,30-35,75,0,2.68%,0,0,0,0,12.5,15,12.5,15,0,0,,,,,2,Anu-Vin
31,102,Astrix,Smart Locks,Delhi,food,2,0,30-35,0,0,0,70,2.75,0,0,0,0,0,0,0,0,,,,,1,Ash
32,103,Thea and Sid,Proposal Solutions,Bangalore,Technology,1,1,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
32,104,Experential Etc,Technology layered Advertisement Services,Delhi,Technology,1,1,40-50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
32,105,GrowFitter,Rewards App,Baramati,Fince,2,2,25-30,50,0,2%,0,0,0,0,0,0,0,0,0,0,,,,,0,-
32,106,Med Tech,Portable opthalmic devices,Delhi,Food,0,0,30-35,0,0,0,0,0,0,0,0,0,0,0,75,6,,,,,1,Ama
33,107,Colour Me Mad,Insoles,Jal,Food,1,0,35-40,40,0,25%,0,0,0,0,0,0,50,15,0,0,,,,,1,Vin
33,108,Mavi's,Vegan Fermented Food,Bangalore,Safety,0,1,30-35,0,0,0,0,0,0,0,25,12.5,25,12.5,0,0,,,,,2,Anu-Vin
33,109,Tweek Labs,Sportswear,Delhi,Food,2,2,30-35,60,0,10%,0,0,0,0,0,0,0,0,0,0,,,,,0,-
33,110,Proxgy,VR,Darbhanga,Lifestyle,1,0,30-35,10,0,10%,0,0,37.5,3.75,0,0,0,0,37.5,3.75,,,,,2,Ama-m
34,111,Nomad Food Project,Bacon Jams,Ahemdabad,Lifestyle,2,0,30-35,40,0,20%,0,0,0,0,50,0.75,0,0,50,0.75,,,,,2,Ama-Anu
34,112,Twee in One,Reversible and convertible clothing,shik,Lifestyle,0,0,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
34,113,Green Protein,Plant-Based Protein,Mumbai,Entertainment,0,0,30-35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
34,114,On2Cook,Fastest Cooking Device,Pune,Lifestyle,1,1,35-40,0,0,0,20,3,20,3,20,3,20,3,20,3,,,,,5,Ama-Anu-Ash-m-Vin
35,115,Jain Shikanji,Lemode,Hyderabad,Education,2,1,30-35,40,0,30%,0,0,50,20,0,0,0,0,0,0,,,,,1,m
35,116,Woloo,Washroom Finder,Ahemdabad,Technology,3,1,25-30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,-
35,117,Elcare India,Carenting for Elders,Hyderabad,Lifestyle,2,1,20-30,0,0,0,50,2,0,0,0,0,0,0,50,2,,,,,2,-
